evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,validation_sample_only_edges_with_heterogeneous_node_types,markedness,diagnostic_odds_ratio,informedness,false_discovery_rate,specificity,positive_likelyhood_ratio,fowlkes_mallows_index,fall_out,miss_rate,balanced_accuracy,prevalence_threshold,precision,negative_predictive_value,negative_likelyhood_ratio,threat_score,matthews_correlation_coefficient,accuracy,prevalence,false_omission_rate,f1_score,recall,auroc,auprc,time_required_for_training,time_required_for_evaluation,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,number_of_threads,python_version,platform,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'training_sample_only_edges_with_heterogeneous_node_types')","('model_parameters', 'edge_embedding_method')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'n_estimators')","('model_parameters', 'criterion')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'bootstrap')","('model_parameters', 'oob_score')","('model_parameters', 'n_jobs')","('model_parameters', 'verbose')","('model_parameters', 'warm_start')","('model_parameters', 'ccp_alpha')","('model_parameters', 'max_samples')","('features_parameters', 'random_state')","('features_parameters', 'embedding_size')","('features_parameters', 'epochs')","('features_parameters', 'clipping_value')","('features_parameters', 'number_of_negative_samples')","('features_parameters', 'walk_length')","('features_parameters', 'iterations')","('features_parameters', 'window_size')","('features_parameters', 'return_weight')","('features_parameters', 'explore_weight')","('features_parameters', 'max_neighbours')","('features_parameters', 'learning_rate')","('features_parameters', 'learning_rate_decay')","('features_parameters', 'central_nodes_embedding_path')","('features_parameters', 'contextual_nodes_embedding_path')","('features_parameters', 'normalize_by_degree')","('features_parameters', 'stochastic_downsample_by_degree')","('features_parameters', 'normalize_learning_rate_by_degree')","('features_parameters', 'use_scale_free_distribution')","('features_parameters', 'dtype')"
train,0.7999984179280395,1.0,True,False,0.7945037075080732,77.89210572328219,0.7933735773684158,0.11773057416940413,0.877829195218178,7.493970296629032,0.8987529228670792,0.12217080478182196,0.08445561784976219,0.8966867886842079,0.26755769100012194,0.8822694258305959,0.9122342816774773,0.0962096251865619,0.815869008754191,0.7939384413530747,0.8966867886842079,0.5,0.08776571832252264,0.8985989681204288,0.9155443821502378,0.9568899835274124,0.9538429262893247,127.55792331695557,5.523680686950684,Edge Prediction,Random Forest Classifier,scikit-learn,HomoSapiens,16584,505666,Connected Monte Carlo,5,"{""train_size"": 0.8, ""minimum_node_degree"": 5, ""maximum_node_degree"": 100}",False,96,3.7.6,Linux-5.10.0-19-cloud-amd64-x86_64-with-debian-11.6,10,,0.00010609626770019531,5.245208740234375e-06,2.1457672119140625e-06,103.25730681419373,102.90828204154968,1.621246337890625e-05,2.6226043701171875e-06,Walklets SkipGram,False,Concatenate,1.0,4096,False,True,252,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,0,False,0.0,,42,100,30,6.0,10,128,10,4,1.0,1.0,100,0.01,0.9,None,None,True,False,False,True,f32
test,0.7999984179280395,1.0,True,False,0.6863570058177753,29.639771318754352,0.6826982023849546,0.1317653333333333,0.8778551229062432,6.589249575002025,0.8359381931878531,0.12214487709375677,0.19515692052128863,0.8413491011924773,0.2803512964258631,0.8682346666666667,0.8181223391511085,0.2223110800734392,0.7172363354393014,0.6845251595566924,0.8413491011924773,0.5,0.18187766084889143,0.8353379446234683,0.8048430794787114,0.9163122140660274,0.9094517340401251,127.55792331695557,5.523680686950684,Edge Prediction,Random Forest Classifier,scikit-learn,HomoSapiens,16584,505666,Connected Monte Carlo,5,"{""train_size"": 0.8, ""minimum_node_degree"": 5, ""maximum_node_degree"": 100}",False,96,3.7.6,Linux-5.10.0-19-cloud-amd64-x86_64-with-debian-11.6,10,,0.00010609626770019531,5.245208740234375e-06,2.1457672119140625e-06,103.25730681419373,102.90828204154968,1.621246337890625e-05,2.6226043701171875e-06,Walklets SkipGram,False,Concatenate,1.0,4096,False,True,252,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,0,False,0.0,,42,100,30,6.0,10,128,10,4,1.0,1.0,100,0.01,0.9,None,None,True,False,False,True,f32
train,0.7999984179280395,1.0,True,False,0.7907538444027573,75.19318445070918,0.7892972620212988,0.12159215347930996,0.8731892656205195,7.224214896976546,0.897059893373231,0.12681073437948054,0.08389200359922078,0.8946486310106494,0.2711651177098569,0.87840784652069,0.9123459978820673,0.09607539499423888,0.8130096461188466,0.790025217521512,0.8946486310106494,0.5,0.08765400211793269,0.8968619089912466,0.9161079964007792,0.9560988749698129,0.9532648179785652,126.29473996162415,5.66793417930603,Edge Prediction,Random Forest Classifier,scikit-learn,HomoSapiens,16584,505666,Connected Monte Carlo,6,"{""train_size"": 0.8, ""minimum_node_degree"": 5, ""maximum_node_degree"": 100}",False,96,3.7.6,Linux-5.10.0-19-cloud-amd64-x86_64-with-debian-11.6,10,,0.00010609626770019531,5.245208740234375e-06,2.1457672119140625e-06,103.74027037620544,103.4085648059845,1.6450881958007812e-05,9.059906005859375e-06,Walklets SkipGram,False,Concatenate,1.0,4096,False,True,294,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,0,False,0.0,,42,100,30,6.0,10,128,10,4,1.0,1.0,100,0.01,0.9,None,None,True,False,False,True,f32
test,0.7999984179280395,1.0,True,False,0.6848457372288981,29.143333576408,0.6819467241481598,0.1352983480339277,0.873504459430063,6.3910732431798625,0.8360988947612185,0.12649554056993695,0.19155773528190323,0.8409733620740799,0.28344211594476837,0.8647016519660723,0.8201440852628257,0.2192979477252918,0.7176613094349891,0.6833946934605787,0.8409733620740799,0.5,0.17985591473717438,0.835626098687707,0.8084422647180968,0.9152903472138165,0.9075936620418522,126.29473996162415,5.66793417930603,Edge Prediction,Random Forest Classifier,scikit-learn,HomoSapiens,16584,505666,Connected Monte Carlo,6,"{""train_size"": 0.8, ""minimum_node_degree"": 5, ""maximum_node_degree"": 100}",False,96,3.7.6,Linux-5.10.0-19-cloud-amd64-x86_64-with-debian-11.6,10,,0.00010609626770019531,5.245208740234375e-06,2.1457672119140625e-06,103.74027037620544,103.4085648059845,1.6450881958007812e-05,9.059906005859375e-06,Walklets SkipGram,False,Concatenate,1.0,4096,False,True,294,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,0,False,0.0,,42,100,30,6.0,10,128,10,4,1.0,1.0,100,0.01,0.9,None,None,True,False,False,True,f32
train,0.7999984179280395,1.0,True,False,0.8142293677714982,97.2938520262566,0.8133843552549613,0.10600051728597293,0.8905846756251669,8.433916226108174,0.9082854376448553,0.10941532437483314,0.07720032037020552,0.9066921776274807,0.2561396311081074,0.8939994827140271,0.9202298850574713,0.08668498626030471,0.8317891950427144,0.8138067518363772,0.9066921776274807,0.5,0.07977011494252874,0.9081713084603258,0.9227996796297945,0.9624230926334403,0.9606064968334815,130.53301334381104,5.588555335998535,Edge Prediction,Random Forest Classifier,scikit-learn,HomoSapiens,16584,505666,Connected Monte Carlo,7,"{""train_size"": 0.8, ""minimum_node_degree"": 5, ""maximum_node_degree"": 100}",False,96,3.7.6,Linux-5.10.0-19-cloud-amd64-x86_64-with-debian-11.6,10,,0.00010609626770019531,5.245208740234375e-06,2.1457672119140625e-06,103.3009204864502,102.97637367248535,2.1219253540039062e-05,9.298324584960938e-06,Walklets SkipGram,False,Concatenate,1.0,4096,False,True,336,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,0,False,0.0,,42,100,30,6.0,10,128,10,4,1.0,1.0,100,0.01,0.9,None,None,True,False,False,True,f32
test,0.7999984179280395,1.0,True,False,0.6993434226532447,33.23706526031559,0.6941681333676113,0.12024796070709909,0.8900963078687681,7.3161493477282935,0.841061132273138,0.10990369213123186,0.19592817450115685,0.8470840666838056,0.26991732513093175,0.8797520392929009,0.8195913833603438,0.2201201968473322,0.7244518882128126,0.6967509729351795,0.8470840666838056,0.5,0.1804086166396562,0.8402111919325508,0.8040718254988432,0.9205409280391073,0.9168763195876688,130.53301334381104,5.588555335998535,Edge Prediction,Random Forest Classifier,scikit-learn,HomoSapiens,16584,505666,Connected Monte Carlo,7,"{""train_size"": 0.8, ""minimum_node_degree"": 5, ""maximum_node_degree"": 100}",False,96,3.7.6,Linux-5.10.0-19-cloud-amd64-x86_64-with-debian-11.6,10,,0.00010609626770019531,5.245208740234375e-06,2.1457672119140625e-06,103.3009204864502,102.97637367248535,2.1219253540039062e-05,9.298324584960938e-06,Walklets SkipGram,False,Concatenate,1.0,4096,False,True,336,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,0,False,0.0,,42,100,30,6.0,10,128,10,4,1.0,1.0,100,0.01,0.9,None,None,True,False,False,True,f32
train,0.7999984179280395,1.0,True,False,0.8143967696341394,96.56661015048343,0.8139529134901564,0.10230786325777341,0.8953037089772873,8.774419757750332,0.9081102176034054,0.10469629102271272,0.08135079548713076,0.9069764567450782,0.2523872866674623,0.8976921367422266,0.9167046328919127,0.09086390983463973,0.8315853071819372,0.8141748113155305,0.9069764567450782,0.5,0.08329536710808731,0.9080497686033613,0.9186492045128692,0.9618697879753528,0.9597670069216299,125.1190185546875,5.460482597351074,Edge Prediction,Random Forest Classifier,scikit-learn,HomoSapiens,16584,505666,Connected Monte Carlo,8,"{""train_size"": 0.8, ""minimum_node_degree"": 5, ""maximum_node_degree"": 100}",False,96,3.7.6,Linux-5.10.0-19-cloud-amd64-x86_64-with-debian-11.6,10,,0.00010609626770019531,5.245208740234375e-06,2.1457672119140625e-06,104.17197871208191,103.84722328186035,1.52587890625e-05,8.821487426757812e-06,Walklets SkipGram,False,Concatenate,1.0,4096,False,True,378,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,0,False,0.0,,42,100,30,6.0,10,128,10,4,1.0,1.0,100,0.01,0.9,None,None,True,False,False,True,f32
test,0.7999984179280395,1.0,True,False,0.7119469210359259,36.934081665240235,0.7067158423477762,0.11351322121883956,0.8962169003500307,7.809546493902439,0.8476417853652096,0.10378309964996935,0.18950105800225447,0.8533579211738881,0.2635354034670635,0.8864867787811604,0.8254601422547654,0.21144553057216625,0.7342918570276807,0.7093265594962661,0.8533579211738881,0.5,0.17453985774523464,0.8467915640060124,0.8104989419977455,0.9236554222012641,0.920331234452664,125.1190185546875,5.460482597351074,Edge Prediction,Random Forest Classifier,scikit-learn,HomoSapiens,16584,505666,Connected Monte Carlo,8,"{""train_size"": 0.8, ""minimum_node_degree"": 5, ""maximum_node_degree"": 100}",False,96,3.7.6,Linux-5.10.0-19-cloud-amd64-x86_64-with-debian-11.6,10,,0.00010609626770019531,5.245208740234375e-06,2.1457672119140625e-06,104.17197871208191,103.84722328186035,1.52587890625e-05,8.821487426757812e-06,Walklets SkipGram,False,Concatenate,1.0,4096,False,True,378,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,0,False,0.0,,42,100,30,6.0,10,128,10,4,1.0,1.0,100,0.01,0.9,None,None,True,False,False,True,f32
train,0.7999984179280395,1.0,True,False,0.8115809282357513,93.99924497742703,0.8108480911275251,0.10640335214837005,0.8903992762006466,8.398200148859866,0.906923357036119,0.10960072379935337,0.07955118507312153,0.9054240455637625,0.2565441310850322,0.89359664785163,0.9179842803841214,0.08934327239411986,0.8295315559773564,0.8112144269275935,0.9054240455637625,0.5,0.08201571961587864,0.9068239935705414,0.9204488149268785,0.9624218253074818,0.9617961661170114,125.33538794517517,5.6454455852508545,Edge Prediction,Random Forest Classifier,scikit-learn,HomoSapiens,16584,505666,Connected Monte Carlo,9,"{""train_size"": 0.8, ""minimum_node_degree"": 5, ""maximum_node_degree"": 100}",False,96,3.7.6,Linux-5.10.0-19-cloud-amd64-x86_64-with-debian-11.6,10,,0.00010609626770019531,5.245208740234375e-06,2.1457672119140625e-06,103.64196181297302,103.32650184631348,1.4781951904296875e-05,1.1444091796875e-05,Walklets SkipGram,False,Concatenate,1.0,4096,False,True,420,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,0,False,0.0,,42,100,30,6.0,10,128,10,4,1.0,1.0,100,0.01,0.9,None,None,True,False,False,True,f32
test,0.7999984179280395,1.0,True,False,0.7046456770810132,34.692758265684525,0.6995669112266893,0.11776591606517695,0.8922320881207111,7.491421231305622,0.8439539668083711,0.10776791187928891,0.19266517689402174,0.8497834556133447,0.26759102756973807,0.882234083934823,0.8224115931461903,0.21593616667590176,0.728794194567672,0.7021017019099183,0.8497834556133447,0.5,0.1775884068538097,0.8431242965272974,0.8073348231059783,0.9224439833207831,0.9217352399883453,125.33538794517517,5.6454455852508545,Edge Prediction,Random Forest Classifier,scikit-learn,HomoSapiens,16584,505666,Connected Monte Carlo,9,"{""train_size"": 0.8, ""minimum_node_degree"": 5, ""maximum_node_degree"": 100}",False,96,3.7.6,Linux-5.10.0-19-cloud-amd64-x86_64-with-debian-11.6,10,,0.00010609626770019531,5.245208740234375e-06,2.1457672119140625e-06,103.64196181297302,103.32650184631348,1.4781951904296875e-05,1.1444091796875e-05,Walklets SkipGram,False,Concatenate,1.0,4096,False,True,420,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,0,False,0.0,,42,100,30,6.0,10,128,10,4,1.0,1.0,100,0.01,0.9,None,None,True,False,False,True,f32
