evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,validation_sample_only_edges_with_heterogeneous_node_types,markedness,diagnostic_odds_ratio,informedness,false_discovery_rate,specificity,positive_likelyhood_ratio,fowlkes_mallows_index,fall_out,miss_rate,balanced_accuracy,prevalence_threshold,precision,negative_predictive_value,negative_likelyhood_ratio,threat_score,matthews_correlation_coefficient,accuracy,prevalence,false_omission_rate,f1_score,recall,auroc,auprc,time_required_for_training,time_required_for_evaluation,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,number_of_threads,python_version,platform,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'training_sample_only_edges_with_heterogeneous_node_types')","('model_parameters', 'edge_embedding_method')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'n_estimators')","('model_parameters', 'criterion')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'bootstrap')","('model_parameters', 'oob_score')","('model_parameters', 'n_jobs')","('model_parameters', 'verbose')","('model_parameters', 'warm_start')","('model_parameters', 'ccp_alpha')","('model_parameters', 'max_samples')","('features_parameters', 'random_state')","('features_parameters', 'embedding_size')","('features_parameters', 'epochs')","('features_parameters', 'clipping_value')","('features_parameters', 'number_of_negative_samples')","('features_parameters', 'walk_length')","('features_parameters', 'iterations')","('features_parameters', 'window_size')","('features_parameters', 'return_weight')","('features_parameters', 'explore_weight')","('features_parameters', 'max_neighbours')","('features_parameters', 'learning_rate')","('features_parameters', 'learning_rate_decay')","('features_parameters', 'central_nodes_embedding_path')","('features_parameters', 'contextual_nodes_embedding_path')","('features_parameters', 'normalize_by_degree')","('features_parameters', 'stochastic_downsample_by_degree')","('features_parameters', 'normalize_learning_rate_by_degree')","('features_parameters', 'use_scale_free_distribution')","('features_parameters', 'dtype')"
train,0.7999984179280395,1.0,True,False,0.8016726143144559,84.18578338242756,0.8006931466484728,0.1131745137004623,0.8828695875728002,7.835911613869955,0.9021914010421824,0.1171304124271997,0.0821764409243274,0.9003465733242364,0.263208469839487,0.8868254862995376,0.9148471280149184,0.0930787990446564,0.8215903433167742,0.8011827308032478,0.9003465733242364,0.5,0.0851528719850816,0.902058299036448,0.9178235590756726,0.9582939402988356,0.9553619564311124,278.4733302593231,116.8841061592102,Edge Prediction,Random Forest Classifier,scikit-learn,HomoSapiens,16584,505666,Connected Monte Carlo,0,"{""train_size"": 0.8, ""minimum_node_degree"": 5, ""maximum_node_degree"": 100}",False,96,3.7.6,Linux-5.10.0-19-cloud-amd64-x86_64-with-debian-11.6,10,,7.796287536621094e-05,6.9141387939453125e-06,7.867813110351562e-06,104.15069723129272,103.79502034187315,1.3113021850585938e-05,1.8358230590820312e-05,Walklets SkipGram,False,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,0,False,0.0,,42,100,30,6.0,10,128,10,4,1.0,1.0,100,0.01,0.9,None,None,True,False,False,True,f32
test,0.7999984179280395,1.0,True,False,0.6957566435583193,31.856359470011554,0.692348765004845,0.1277749425873947,0.8811675598710621,6.826260609086368,0.8411495546095474,0.1188324401289379,0.1888187948662171,0.8461743825024225,0.276800414579183,0.8722250574126053,0.823531586145714,0.2142825081915705,0.7250247454751131,0.6940506126440048,0.8461743825024225,0.5,0.176468413854286,0.8405963420257185,0.8111812051337829,0.9198057811081618,0.9125855827056256,278.4733302593231,116.8841061592102,Edge Prediction,Random Forest Classifier,scikit-learn,HomoSapiens,16584,505666,Connected Monte Carlo,0,"{""train_size"": 0.8, ""minimum_node_degree"": 5, ""maximum_node_degree"": 100}",False,96,3.7.6,Linux-5.10.0-19-cloud-amd64-x86_64-with-debian-11.6,10,,7.796287536621094e-05,6.9141387939453125e-06,7.867813110351562e-06,104.15069723129272,103.79502034187315,1.3113021850585938e-05,1.8358230590820312e-05,Walklets SkipGram,False,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,0,False,0.0,,42,100,30,6.0,10,128,10,4,1.0,1.0,100,0.01,0.9,None,None,True,False,False,True,f32
train,0.7999984179280395,1.0,True,False,0.8020809400516633,84.49004399374905,0.8011529372212829,0.1126007669283658,0.883569161401323,7.880934182590234,0.902365302381251,0.1164308385986769,0.0824162241800401,0.9005764686106414,0.2626533129105298,0.8873992330716342,0.9146817069800292,0.0932764833590724,0.8218903886349949,0.8016168043470633,0.9005764686106414,0.5,0.0853182930199707,0.9022391179644736,0.91758377581996,0.9590022982087218,0.95607008193749,288.6410791873932,113.1252920627594,Edge Prediction,Random Forest Classifier,scikit-learn,HomoSapiens,16584,505666,Connected Monte Carlo,1,"{""train_size"": 0.8, ""minimum_node_degree"": 5, ""maximum_node_degree"": 100}",False,96,3.7.6,Linux-5.10.0-19-cloud-amd64-x86_64-with-debian-11.6,10,,7.796287536621094e-05,6.9141387939453125e-06,7.867813110351562e-06,101.4526069164276,101.1417875289917,8.821487426757812e-06,1.52587890625e-05,Walklets SkipGram,False,Concatenate,1.0,4096,False,True,84,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,0,False,0.0,,42,100,30,6.0,10,128,10,4,1.0,1.0,100,0.01,0.9,None,None,True,False,False,True,f32
test,0.7999984179280395,1.0,True,False,0.6886605151740612,30.4419904053446,0.6837660925109259,0.1266413268832066,0.8840350426167263,6.896316507503408,0.8357344366399523,0.1159649573832737,0.2002689501058002,0.841883046255463,0.2757796110216136,0.8733586731167934,0.815301842057268,0.2265396058430083,0.7166273856568198,0.6862089401393203,0.8418830462554631,0.5,0.1846981579427321,0.8349247968948396,0.7997310498941997,0.9163472829930528,0.9103396210035224,288.6410791873932,113.1252920627594,Edge Prediction,Random Forest Classifier,scikit-learn,HomoSapiens,16584,505666,Connected Monte Carlo,1,"{""train_size"": 0.8, ""minimum_node_degree"": 5, ""maximum_node_degree"": 100}",False,96,3.7.6,Linux-5.10.0-19-cloud-amd64-x86_64-with-debian-11.6,10,,7.796287536621094e-05,6.9141387939453125e-06,7.867813110351562e-06,101.4526069164276,101.1417875289917,8.821487426757812e-06,1.52587890625e-05,Walklets SkipGram,False,Concatenate,1.0,4096,False,True,84,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,0,False,0.0,,42,100,30,6.0,10,128,10,4,1.0,1.0,100,0.01,0.9,None,None,True,False,False,True,f32
train,0.7999984179280395,1.0,True,False,0.8078821902023383,90.44171267721768,0.8069176233276973,0.1100164870612411,0.8861820572908942,8.089546728058554,0.9052289619477994,0.1138179427091058,0.0792644339631969,0.9034588116638488,0.2601312776861377,0.8899835129387589,0.9178986772635794,0.0894448644170392,0.8266481717805026,0.8073997627240458,0.9034588116638486,0.5,0.0821013227364205,0.9050984032406608,0.9207355660368032,0.9597738656453448,0.957144997214322,303.04153966903687,114.608989238739,Edge Prediction,Random Forest Classifier,scikit-learn,HomoSapiens,16584,505666,Connected Monte Carlo,2,"{""train_size"": 0.8, ""minimum_node_degree"": 5, ""maximum_node_degree"": 100}",False,96,3.7.6,Linux-5.10.0-19-cloud-amd64-x86_64-with-debian-11.6,10,,7.796287536621094e-05,6.9141387939453125e-06,7.867813110351562e-06,102.56613111495972,102.22360396385191,7.390975952148437e-06,1.811981201171875e-05,Walklets SkipGram,False,Concatenate,1.0,4096,False,True,126,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,0,False,0.0,,42,100,30,6.0,10,128,10,4,1.0,1.0,100,0.01,0.9,None,None,True,False,False,True,f32
test,0.7999984179280395,1.0,True,False,0.6953920536910734,31.96450729265768,0.6911424446773586,0.1251233534989487,0.884657978523543,6.992113159022717,0.8399847767691037,0.115342021476457,0.1935155338461842,0.8455712223386793,0.2744040999425062,0.8748766465010512,0.820515407190022,0.2187461578870893,0.7230826514419454,0.6932639930050151,0.8455712223386794,0.5,0.179484592809978,0.8392895730646938,0.8064844661538157,0.9195222368543812,0.9128408987079472,303.04153966903687,114.608989238739,Edge Prediction,Random Forest Classifier,scikit-learn,HomoSapiens,16584,505666,Connected Monte Carlo,2,"{""train_size"": 0.8, ""minimum_node_degree"": 5, ""maximum_node_degree"": 100}",False,96,3.7.6,Linux-5.10.0-19-cloud-amd64-x86_64-with-debian-11.6,10,,7.796287536621094e-05,6.9141387939453125e-06,7.867813110351562e-06,102.56613111495972,102.22360396385191,7.390975952148437e-06,1.811981201171875e-05,Walklets SkipGram,False,Concatenate,1.0,4096,False,True,126,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,0,False,0.0,,42,100,30,6.0,10,128,10,4,1.0,1.0,100,0.01,0.9,None,None,True,False,False,True,f32
train,0.7999984179280395,1.0,True,False,0.8004324636505986,82.99365420532614,0.7994596224773318,0.1137363096731042,0.882298557345278,7.792266980299909,0.90158002984099,0.117701442654722,0.0828389348679461,0.8997298112386659,0.2637504147048888,0.8862636903268958,0.9141687733237028,0.0938899130892809,0.8205778664413708,0.7999458951758602,0.8997298112386659,0.5,0.0858312266762971,0.9014477013777276,0.917161065132054,0.9582376368562066,0.9561636603785502,312.57905077934265,120.03372931480408,Edge Prediction,Random Forest Classifier,scikit-learn,HomoSapiens,16584,505666,Connected Monte Carlo,3,"{""train_size"": 0.8, ""minimum_node_degree"": 5, ""maximum_node_degree"": 100}",False,96,3.7.6,Linux-5.10.0-19-cloud-amd64-x86_64-with-debian-11.6,10,,7.796287536621094e-05,6.9141387939453125e-06,7.867813110351562e-06,103.04369306564332,102.70398163795473,8.106231689453125e-06,1.7881393432617188e-05,Walklets SkipGram,False,Concatenate,1.0,4096,False,True,168,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,0,False,0.0,,42,100,30,6.0,10,128,10,4,1.0,1.0,100,0.01,0.9,None,None,True,False,False,True,f32
test,0.7999984179280395,1.0,True,False,0.6940824417239098,31.47371514087439,0.6905096208990054,0.1280598223225889,0.8811280083849151,6.808850440858429,0.8400787742970092,0.1188719916150848,0.1906183874859097,0.8452548104495027,0.2770560924609047,0.871940177677411,0.8221422640464988,0.2163345004039859,0.7233907172399165,0.6922937264683487,0.8452548104495027,0.5,0.1778577359535012,0.8394970565913893,0.8093816125140902,0.9193967845453644,0.9144968481666212,312.57905077934265,120.03372931480408,Edge Prediction,Random Forest Classifier,scikit-learn,HomoSapiens,16584,505666,Connected Monte Carlo,3,"{""train_size"": 0.8, ""minimum_node_degree"": 5, ""maximum_node_degree"": 100}",False,96,3.7.6,Linux-5.10.0-19-cloud-amd64-x86_64-with-debian-11.6,10,,7.796287536621094e-05,6.9141387939453125e-06,7.867813110351562e-06,103.04369306564332,102.70398163795473,8.106231689453125e-06,1.7881393432617188e-05,Walklets SkipGram,False,Concatenate,1.0,4096,False,True,168,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,0,False,0.0,,42,100,30,6.0,10,128,10,4,1.0,1.0,100,0.01,0.9,None,None,True,False,False,True,f32
train,0.7999984179280395,1.0,True,False,0.7993941493956584,82.45525759000357,0.7981593545133636,0.11601190207192147,0.8794285742537055,7.619805228088157,0.901192030007875,0.12057142574629454,0.08126921974034196,0.8990796772566818,0.2659291940288522,0.8839880979280785,0.9154060514675799,0.09241139317005713,0.819877036974942,0.7987765133523882,0.8990796772566818,0.5,0.08459394853242004,0.9010246520146964,0.918730780259658,0.9594969854740788,0.9580230456956416,132.73152995109558,5.560480356216431,Edge Prediction,Random Forest Classifier,scikit-learn,HomoSapiens,16584,505666,Connected Monte Carlo,4,"{""train_size"": 0.8, ""minimum_node_degree"": 5, ""maximum_node_degree"": 100}",False,96,3.7.6,Linux-5.10.0-19-cloud-amd64-x86_64-with-debian-11.6,10,,0.00010609626770019531,5.245208740234375e-06,2.1457672119140625e-06,103.8344042301178,103.47482395172119,1.5974044799804688e-05,8.58306884765625e-06,Walklets SkipGram,False,Concatenate,1.0,4096,False,True,210,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,0,False,0.0,,42,100,30,6.0,10,128,10,4,1.0,1.0,100,0.01,0.9,None,None,True,False,False,True,f32
test,0.7999984179280395,1.0,True,False,0.6876870950723459,29.936811806947524,0.6840825044001029,0.13126252505010017,0.8782407498961774,6.618320610687025,0.8366988293388113,0.1217592501038226,0.19415824549607452,0.8420412522000514,0.2799074310151945,0.8687374749498998,0.818949620122446,0.2210763341589732,0.7183731753755024,0.6858824317918647,0.8420412522000514,0.5,0.18105037987755404,0.8361084608045305,0.8058417545039255,0.9173103892909834,0.9151693308866722,132.73152995109558,5.560480356216431,Edge Prediction,Random Forest Classifier,scikit-learn,HomoSapiens,16584,505666,Connected Monte Carlo,4,"{""train_size"": 0.8, ""minimum_node_degree"": 5, ""maximum_node_degree"": 100}",False,96,3.7.6,Linux-5.10.0-19-cloud-amd64-x86_64-with-debian-11.6,10,,0.00010609626770019531,5.245208740234375e-06,2.1457672119140625e-06,103.8344042301178,103.47482395172119,1.5974044799804688e-05,8.58306884765625e-06,Walklets SkipGram,False,Concatenate,1.0,4096,False,True,210,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,0,False,0.0,,42,100,30,6.0,10,128,10,4,1.0,1.0,100,0.01,0.9,None,None,True,False,False,True,f32
